Updated,Outlet,Outlet Format,Type of Media,Languages Served 1,Geographic Focus,Communities Served,Outlet Website,Editorial Director Name,Editorial Director Email,Marketing Director Name,Marketing Director Email,Outlet Email,Outlet Phone
21-Aug,TV Asia,Television,Broadcast,English,International,"South Asia (various), UK",https://tvasiausa.com/home,Pradeep Hedge,pradeep@tvasiausa.com,Pradeep Hegde,pradeep@tvasiausa.com,info@tvasiausa.com,732-543-5725
21-Aug,TV One Global,Television,Broadcast,"English, Urdu, Punjabi",,South Asian,http://tvoneusa.com/,Riaz Babar,Riazbabar@tvoneusa.com,Max Shaukat,Programs@tvoneusa.com,Programs@tvoneusa.com; RiazBabar@tvoneusa.com,1-855-886-6387 Ext 3
21-Aug,TV One Pakistan,Television,Broadcast,"English, Urdu, Punjabi",,Pakistani,http://www.tvonepk.tv/ ; http://tvoneusa.com/,Riaz Babar,Riazbabar@tvoneusa.com,Max Shaukat,Programs@tvoneusa.com,Programs@tvoneusa.com; RiazBabar@tvoneusa.com,1-855-886-6387 Ext 3
21-Nov,Upper East Site,Newspaper,Digital,English,Manhattan,,UpperEastSite.com,Michael Aquilia,michael@uppereastsite.com,Michael Aquilia,michael@uppereastsite.com,info@uppereastsite.com,212-470-6723
,Uptown Collective,Newspaper,Digital,English,Manhattan,African-American,UptownCollective.com,Led Black,ledblack@me.com,,646.820.2405,UptownCollective@gmail.com,646-457-1101
,Urdu News,Newspaper,Print and Digital,Urdu,Regional – Metro Area,Pakistani,http://www.pn.com.pk,Mohsin Zaheer,mohsinzaheer@aol.com,,,mohsinzaheer@aol.com,917-287-1995
,Urdu Times USA,Newspaper,Print and Digital,Urdu,National,Pakistani,urdutimesusa.com,Khalil Rehman,7khalil@gmail.com,Noel Marenda,urdunoel@aol.com,urdutimes@usa.com,718-297-8700
,US Bangla News,Newspaper,Digital,Bengali,Regional – Metro Area,Bangladeshi,usbanglanews.com,Abu Sayeed,usbanglanews24@gmail.com,,,usbanglanews24@gmail.com,347-845-4971
,US Veterans Magazine,Magazine,Print and Digital,English,National,Veteran,https://www.usveteransmagazine.com/,Sheila Hill,shill@diversitycomm.net,,,,
,V Novom Svete,Newspaper,Print and Digital,Russian,National,Russian,vnovomsvete.com,David Guy,editor@vnsnews.com,Anastasia Stetsun,ads@vnsnews.com,manager@vnsnews.com,212-482-0303
21-Apr,Vaba Eesti Sona/Free Estonian Word,Newspaper,Print and Digital,"Estonian, English",National,Estonian,http://vabaeestisona.com,Kart Ulman,toimetus@vabaeestisona.com,,,talitus@vabaeestisona.com,212-686-3356
,Vecherniy New York,Newspaper,Print,Russian,Regional – Metro Area,Russian,vechny.com,Ari Kagan,vechny@yahoo.com,Irina Melikyan,,vechny@yahoo.com,718-615-1210
,Village Sun,Newspaper,Digital,English,Manhattan,Manhattan,http://thevillagesun.com/,Lincoln Anderson,news@thevillagesun.com,Lincoln Anderson,news@thevillagesun.com,news@thevillagesun.com,212-682-9227
21-Apr,Vishwa Sandesh Weekly,Newspaper,Print and Digital,"Nepali, English",National,Nepalese,https://vishwanews.com/,"Roshan Dhungana (executive director), Yogesh Dangol (managing director)",ygshdngl@yahoo.com,,"vishwosandesh@gmail.com, nepalinewspaper@gmail.com",vishwosandesh@gmail.com,646-750-3746
,Vos Iz Neias,Newspaper,Digital,English,National,Jewish,http://www.vosizneias.com/,Sol Fried,vinnews@hotmail.com; vinnews@vosizneias.com,Sol Fried,newstips@vosizneias.com,,845-458-1222
21-Aug,WBAI - AfrobeatRadio,Radio,Broadcast,English,International,African,https://www.afrobeatradio.com/,,,,,,
21-Aug,WBAI Pacifica Radio,Radio,Broadcast,English,New York City,,https://wbai.org/,,,,,,646 495-0667
21-Apr,Weekly Ajkal,Newspaper,Print and Digital,Bengali,New York City,Bangladeshi,http://ajkalnewyork.com/,Zakaria Masud Jiko,ajkalnews@gmail.com,,,ajkalnews@gmail.com,718-565-2100
21-Apr,Weekly Awaz,Newspaper,Print and Digital,Urdu,New York City,Pakistani,http://www.awazonline.com/,Mohammad Farrukh,mfarrukh71@gmail.com,Mohammad Farrukh,mfarrukh71@gmail.com,,917-442-9283
,Weekly Bangalee,Newspaper,Print and Digital,Bengali,National,Bangladeshi,weeklybangalee.com,Kowshik Ahmed,weeklybangalee@gmail.com,Kowshik Ahmed,weeklybangalee@gmail.com,weeklybangalee@gmail.com,718-639-1177
21-Apr,Weekly Bangladesh,Newspaper,Print and Digital,"Bengali, English",New York City,Bangladeshi,http://www.weeklybangladeshusa.com,Mohammed Khan,,,weeklybangladesh@yahoo.com,weeklybangladesh@yahoo.com,718-523-6299
,Weekly Bornomala,Newspaper,Print and Digital,English,National,Bangladeshi,bornomalanews.com,Mahfuzur Rahman,bornomalabd@gmail.com,,,bornomalanews@gmail.com,347-753-2355
21-Apr,Weekly Gleaner,Newspaper,Digital,English,New York City,Jamaican,http://www.jamaica-gleaner.com,Kemar Jordan,aubreycgleaner@gmail.com,Aubrey Campbell,aubreycgleaner@gmail.com,diannecooper@verizon.net,917-548-5568
,Weekly Link,Magazine,Print,English,National,Jewish,weeklylink.com,,info@weeklylink.com,,,,
21-Nov,Weekly Nobojug,Newspaper,Digital,Bengali,,"Bangladeshi, South Asian",www.nobojugusa.com,Shahab Uddin Sagor,weeklynobojug@gmail.com,Shahab Uddin Sagor,weeklynobojug@gmail.com,weeklynobojug@gmail.com,917-353-9321
,Weekly Parichoy,Newspaper,Print,Bengali,Regional – Metro Area,Bangladeshi,parichoy.com,Najmul Ahsan,Parichoyny@gmail.com,,,Parichoyny@gmail.com,917-749-1179;   718 607-7014
,Weekly Probash,Newspaper,Print and Digital,Bengali,National,Bangladeshi,newsprobash.com,Muhammed Sayed,,,,,347-507-2450
,Weekly Prothom Alo,Newspaper,Print and Digital,Bengali,International,Bangladeshi,https://www.prothomalo.com/northamerica,Mohammad M Rahman,dulalusa123@gmail.com,,,,
21-Apr,West Side Rag,Newspaper,Digital,English,Manhattan,Upper West Side (Manhattan),https://www.westsiderag.com/,,info@westsiderag.com,,ads@westsiderag.com,westsiderag@gmail.com,
,West Side Spirit,Newspaper,Digital,English,Manhattan,Manhattan,nypress.com/west-side-spirit,Allen Houston,ahouston@manhattanmedia.com,Gerry Gavin,ggavin@manhattanmedia.com,ahouston@manhattanmedia.com,212-268-8600
,West View News,Newspaper,Print and Digital,English,Manhattan,Manhattan,http://westviewnews.org/,George Capsis,gcapsis@gmail.com,,,,
21-Aug,WGBB - Chinese Radio Network,Radio,Broadcast,Chinese,Regional,Chinese,http://chineseradionetwork.com/,,,,,,718-661-3933
21-Nov,WhereItzAt Magazine,Magazine,Print and Digital,English,,Caribbean-American,https://gowhereitzat.com/,,,,advertise@gowhereitzat.com,,
21-Apr,White Eagle/Bialy Orzel,Newspaper,Print and Digital,Polish,"Brooklyn, Queens",Polish,www.bialyorzel24.com,Marcin Bolec,editor@whiteeaglenews.com,Darek Barcikowski,publisher@whiteeaglenews.com,info@whiteeaglenews.com,860-223-1150
21-Apr,Women's eNews,Newspaper,Digital,English,International,Women,http://womensenews.org,Lori Sokol,lori@womensenews.org,Angie Alvarado,angie@womensenews.org,editors@womensenews.org,646-478-7170
,World Journal,Newspaper,Print and Digital,Chinese,National,Chinese,https://www.worldjournal.com/,TaiSheng Won,tswon@worldjournal.com,Richard Li,richardli@worldjournal.com,clairechen@worldjournal.com,917-681-7757
21-Aug,WVIP - Caribbean Voice Radio,Radio,Broadcast,English,Regional,,https://www.caribbeanvoiceradio.com/,,,,,,
21-Aug,WWRL - Radio Mirchi,Radio,Broadcast,Hindi,International,Indian,https://www.radiomirchiusa.com/,Sai Sagar Patnaik,Saisagar.patnaik@timesgroup.com,Prashant Gupta,prashant.gupta@timesgroup.com,prashant.gupta@timesgroup.com,848-219-6113
21-Aug,WZRC - Chinese Cantonese Radio,Radio,Broadcast,Cantonese,National,Chinese,http://www.nyam1480.com/,,,,,,212-965-1480
,Yated Ne'eman,Newspaper,Print and Digital,Yiddish,Regional – Metro Area,"Jewish, Haredi",yated.com,Rabbi Pinchas Lipschitz,"editor@yated.com;
articles@yated.com",Chayale Caufman; Yitzchok Hisiger,"ads@yated.com;
ccaufman@yated.com",,845-369-1600
,Yediot America,Magazine,Print and Digital,Hebrew,National,Jewish,ynetus.com,Ilan Safit,safit@ynetus.com,Maayan Tal-Or,maayant@ynetus.com,safit@ynetus.com,646-503-2712
,Yiddish News Report,Newspaper,Print,Yiddish,Brooklyn,Haredi,ditzeitung.com,Albert Friedman,editor@ditzeitung.com,Rose Friedman,rf@ditzeitung.com,,718-851-6607
21-Aug,Zee Aflam TV,Television,Broadcast,"Hindi, Arabic",,,http://www.zeeaflam.com/,,,,,,
21-Aug,Zee Bangla TV,Television,Broadcast,Bengali,,Indian,https://zeebangla.zee5.com/,,,,,,337-382-0846
21-Aug,Zee TV,Television,Broadcast,Hindi,,Indian,https://zeetv.zee5.com/,,,,,,337-382-0846
